radio,mcc,net,area,cell,unit,lon,lat,range,samples,changeable,created,updated,averageSignal
UMTS,202,1,3120,35171059,357,22.9308852,39.3724824,2237,1278,1,1484302921,1540162361,
UMTS,202,1,4107,956931,,22.5094530,40.2725792,2183,11110,1,1524155976,1540162597,
UMTS,202,5,4061,139782,,22.9498316,40.6401781,227,107,1,1527970806,1540159891,
UMTS,202,10,10100,13960680,82,23.9118765,37.8394771,4263,278,1,1484682817,1540160172,
UMTS,202,10,10100,13960921,171,23.7883553,37.8343783,2139,292,1,1484346547,1540160172,
UMTS,204,8,6060,10224327,134,6.7456801,52.9600692,2230,97,1,1477887306,1540159205,
UMTS,204,8,6060,10224328,353,6.7431490,52.9471167,1627,52,1,1477887306,1540159205,
UMTS,204,8,6060,10238014,277,6.7541957,52.9815094,12194,370,1,1425141473,1540159205,
UMTS,204,8,6060,10238024,191,6.7598573,52.9340337,9178,431,1,1444055814,1540159205,
UMTS,204,8,6060,10271169,472,6.8512539,52.8005568,3865,103,1,1454522554,1540159205,
UMTS,204,8,6100,10618206,,6.0600026,53.1745760,5149,963,1,1534274363,1540159813,
UMTS,204,8,6350,10509775,346,4.5721314,51.6380954,8473,252,1,1430890555,1540160587,
UMTS,204,16,1509,13713503,373,4.4869847,51.6712014,9083,154,1,1428009044,1540160587,
UMTS,204,16,1514,13260064,300,4.4070084,52.0618423,1964,123,1,1432375164,1540159223,
UMTS,206,20,400,3555210,116,3.7488004,50.6366540,3868,18,1,1518978393,1540159797,
UMTS,206,20,400,3555213,116,3.7667647,50.6272087,5367,18,1,1538545582,1540159797,
UMTS,206,20,401,3584690,434,4.4079897,50.7027973,1388,709,1,1506401650,1540160663,
UMTS,206,20,621,229282,66,5.7532671,50.7260174,7117,123,1,1522785392,1540161273,
UMTS,206,20,621,229582,66,5.7008215,50.6686046,2597,4,1,1529044690,1540161273,
UMTS,208,1,1031,7426830,233,2.2600779,48.9602878,4100,184,1,1434844341,1540162468,
UMTS,208,1,1031,7438683,5,2.0592518,48.9751515,2520,182,1,1483455866,1540162468,
UMTS,208,1,1031,7458338,496,2.0560680,48.9800574,6837,170,1,1481847148,1540162468,
UMTS,208,1,1031,7462644,335,2.2370974,48.9536298,1591,223,1,1415814482,1540162468,
UMTS,208,1,1031,7463705,352,2.2465121,48.9522111,1271,81,1,1443206964,1540162468,
UMTS,208,1,1031,7464101,335,2.2372075,48.9522202,1910,711,1,1414777360,1540162468,
UMTS,208,1,1051,25690541,23,3.1276249,42.4840718,7416,254,1,1443858521,1540161109,
UMTS,208,1,1051,25690606,337,3.1596893,42.4530427,18265,445,1,1433612777,1540161109,
UMTS,208,1,1051,25690607,338,3.1364935,42.4835867,14738,370,1,1445552756,1540161109,
UMTS,208,1,1051,25691079,327,3.1660881,42.4439216,3010,142,1,1443129978,1540161107,
UMTS,208,1,1051,25691663,337,3.1564965,42.4558063,24321,181,1,1443129978,1540161107,
UMTS,208,1,1051,25691664,338,3.1110387,42.5031178,12863,258,1,1427796234,1540161112,
UMTS,208,1,1051,25700682,362,3.0691369,42.5422996,8386,105,1,1436940795,1540161112,
UMTS,208,1,1051,25703047,370,3.1600018,42.4362104,320,40,1,1468778464,1540161107,
UMTS,208,1,1051,25704551,337,3.1585922,42.4526297,19709,240,1,1445674571,1540161107,
UMTS,208,1,1051,25710470,23,3.1110707,42.4901814,5951,83,1,1439743642,1540161109,
